GID,Name,Location,Description
GAR0001,Enchanted Haven,"Bangkok, Thailand",A vibrant oasis bursting with exotic flowers and tropical trees.
GAR0002,Secret Park,"Tokyo, Japan",A vibrant oasis bursting with exotic flowers and tropical trees.
GAR0003,Majestic Park,"London, UK",A majestic garden known for its intricate landscaping and beauty.
GAR0004,Peaceful Meadow,"London, UK",An enchanted garden with a diverse collection of flora and fauna.
GAR0005,Lush Oasis,"Seoul, South Korea",A peaceful retreat filled with vibrant flowers and serene pathways.
GAR0006,Golden Retreat,Singapore,A peaceful retreat filled with vibrant flowers and serene pathways.
GAR0007,Blooming Tranquil Sanctuary,"Dubai, UAE",A quiet haven where nature lovers can immerse themselves in greenery.
GAR0008,Sacred Wild Meadow,"Rio de Janeiro, Brazil",A peaceful retreat filled with vibrant flowers and serene pathways.
GAR0009,Wild Majestic Golden Paradise,"Rio de Janeiro, Brazil",An enchanted garden with a diverse collection of flora and fauna.
GAR0010,Sunny Golden Haven,"Sydney, Australia",A quiet haven where nature lovers can immerse themselves in greenery.
GAR0011,Sacred Meadow,"Bangkok, Thailand",A majestic garden known for its intricate landscaping and beauty.
GAR0012,Serene Grove,"Tokyo, Japan",A majestic garden known for its intricate landscaping and beauty.
GAR0013,Sacred Lush Grove,"Paris, France",An enchanted garden with a diverse collection of flora and fauna.
GAR0014,Serene Peaceful Lush Garden,"Barcelona, Spain",A secret garden offering a tranquil escape from the bustling city.
GAR0015,Hidden Blooming Sacred Grove,"Dubai, UAE",A majestic garden known for its intricate landscaping and beauty.
GAR0016,Blooming Oasis,"Tokyo, Japan",A lush green space perfect for relaxation and meditation.
GAR0017,Serene Sunny Garden,"Dubai, UAE",A secret garden offering a tranquil escape from the bustling city.
GAR0018,Secret Sanctuary,"Sydney, Australia",A lush green space perfect for relaxation and meditation.
GAR0019,Lush Whispering Retreat,"Rome, Italy",A hidden gem featuring rare plants and a tranquil atmosphere.
GAR0020,Blooming Enchanted Meadow,"Toronto, Canada",A charming retreat where every season brings a new burst of color.
GAR0021,Hidden Oasis,"Dubai, UAE",An enchanted garden with a diverse collection of flora and fauna.
GAR0022,Green Enchanted Paradise,"Mexico City, Mexico",A quiet haven where nature lovers can immerse themselves in greenery.
GAR0023,Sacred Sanctuary,"Tokyo, Japan",A quiet haven where nature lovers can immerse themselves in greenery.
GAR0024,Enchanted Majestic Paradise,"Paris, France",An enchanted garden with a diverse collection of flora and fauna.
GAR0025,Majestic Park,"New York, USA",A breathtaking paradise with cascading waterfalls and colorful blooms.
GAR0026,Blooming Meadow,"Tokyo, Japan",A peaceful retreat filled with vibrant flowers and serene pathways.
GAR0027,Whispering Lush Blooming Sanctuary,"Toronto, Canada",A charming retreat where every season brings a new burst of color.
GAR0028,Sunny Sanctuary,"Istanbul, Turkey",A vibrant oasis bursting with exotic flowers and tropical trees.
GAR0029,Majestic Meadow,"Seoul, South Korea",A peaceful retreat filled with vibrant flowers and serene pathways.
GAR0030,Tranquil Secret Grove,"Bangkok, Thailand",A peaceful retreat filled with vibrant flowers and serene pathways.
GAR0031,Sunny Grove,"Rome, Italy",A majestic garden known for its intricate landscaping and beauty.
GAR0032,Enchanted Wild Hidden Sanctuary,"Bangkok, Thailand",A peaceful retreat filled with vibrant flowers and serene pathways.
GAR0033,Peaceful Oasis,"London, UK",A majestic garden known for its intricate landscaping and beauty.
GAR0034,Lush Golden Haven,"Istanbul, Turkey",An enchanted garden with a diverse collection of flora and fauna.
GAR0035,Wild Lush Blooming Paradise,"Rome, Italy",A breathtaking paradise with cascading waterfalls and colorful blooms.
